id;name;description;price;product_size;image;image_content_type;product_category_id
1;fat how warp;woot speedily highlight;23641.17;L;../fake-data/blob/hipster.png;image/png;1
2;bleak biodegrade;even;21255.84;XL;../fake-data/blob/hipster.png;image/png;2
3;psst supposing resolve;valuable;4483.24;L;../fake-data/blob/hipster.png;image/png;3
4;designation veg;whose lest helpfully;3517.93;S;../fake-data/blob/hipster.png;image/png;4
5;ravage near really;tomorrow before palatable;25747.35;XL;../fake-data/blob/hipster.png;image/png;5
6;zowie petticoat holster;even unlike gadzooks;16828.58;M;../fake-data/blob/hipster.png;image/png;6
7;considering whenever;gratefully integer;21555.39;XXL;../fake-data/blob/hipster.png;image/png;7
8;goodwill beep likewise;redraw depend disadvantage;27963.04;XL;../fake-data/blob/hipster.png;image/png;8
9;stint but;grandpa;2144.33;XXL;../fake-data/blob/hipster.png;image/png;9
10;likely;forenenst how;29595.38;S;../fake-data/blob/hipster.png;image/png;10
