id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2025-05-19T19:08:24;PAID;9625.62;IDEAL;onto;1
2;2025-05-19T12:45:00;PENDING;17698.33;CREDIT_CARD;longboat within;2
3;2025-05-19T19:26:27;REFUNDED;3191.41;IDEAL;untidy giggle selfishly;2
4;2025-05-19T19:40:47;COMPLETED;15702.89;CREDIT_CARD;embody reasonable;2
5;2025-05-19T11:07:23;CANCELLED;16110.1;CREDIT_CARD;why helplessly at;1
6;2025-05-19T00:19:22;PAID;21836.17;IDEAL;whether incomparable;1
7;2025-05-19T11:39:20;COMPLETED;16846.46;CREDIT_CARD;hope aside;1
8;2025-05-19T03:10:09;COMPLETED;29298.17;CREDIT_CARD;pillbox;1
9;2025-05-19T14:45:52;CANCELLED;11457.16;CREDIT_CARD;tattered;2
10;2025-05-19T03:21:23;CANCELLED;15765.49;IDEAL;euphonium beneath calmly;2
