id;description;completed;created_at;target_date
1;along even while;true;2025-06-24T10:10:16;2025-06-24T08:35:05
2;however contravene;false;2025-06-24T19:19:54;2025-06-24T05:41:33
3;whenever;true;2025-06-24T15:35:45;2025-06-24T18:10:56
4;imagineer alongside;true;2025-06-24T03:14:28;2025-06-24T03:38:29
5;bleakly;false;2025-06-24T21:10:18;2025-06-24T02:39:54
6;soup compassionate quick-witted;false;2025-06-24T05:14:31;2025-06-23T23:44:16
7;shrilly brr;false;2025-06-24T18:44:32;2025-06-24T05:32:23
8;sudden;false;2025-06-24T07:43:21;2025-06-24T21:14:12
9;against famously;true;2025-06-24T18:59:13;2025-06-24T02:02:20
10;altruistic really;false;2025-06-24T00:58:06;2025-06-24T10:27:39
